arene_id,arene_smiles,arene_energy,aryne_id,aryne_smiles,aryne_energy,dehydrogenation_energy,Sz_Aryne_Ring,RingSys_Type,Aryne_Aindx_1,Aryne_Aindx_2,Aindx_1_Type,Aindx_2_Type,Aryne_Bond_Dist(A),Aidx1_BndAngl_idxs,BndAng1_Atom_Types,Aidx1_BndAngl,Aidx2_BndAngl_idxs,BndAng2_Atom_Types,Aidx2_BndAngl,Max_Aryne_BndAngl,Aidx1_BndAngl_dev,Aidx2_BndAngl_dev,Max_angle_dev,Sum_abs_dev,Aryne_DiH_Ang,eHOMO(eV),eLUMO(eV),H_L_Gap(eV),Hirsh_chgs_Aindx_1,Hirsh_chgs_Aindx_2,Sum_Abs_Hirsh_aryne
arene_1,O=c1nc2ccsc2cs1,-1156.0883,aryne_1,O=c1nc2c#csc2cs1,-1154.7269,124.0423,5,multi,4,5,C,C,1.2376,"[3, 4, 5]","['C', 'C', 'C']",125.4185,"[4, 5, 6]","['C', 'C', 'S']",111.5513,125.4185,17.418499999999995,3.5512999999999977,17.418499999999995,20.969799999999992,0.091,-8.2033,-3.1162,5.0871,0.0001,-0.0688,0.0689
arene_2,c1csn2nn[nH]cc-2o1,-846.4294,aryne_2,c1oc2c[nH]nnn-2sc#1,-845.1003,103.7738,6,multi,9,0,C,C,1.2245,"[8, 9, 0]","['S', 'C', 'C']",115.8641,"[1, 0, 9]","['O', 'C', 'C']",148.187,148.187,4.135900000000007,28.187000000000012,28.187000000000012,32.32290000000002,9.361,-7.5885,-1.8409,5.7476,-0.1534,0.0712,0.22460000000000002
arene_3,O=c1cnc2occsc=2c1=O,-946.314,aryne_3,O=c1cnc2oc#csc=2c1=O,-944.9744,110.3626,6,multi,6,7,C,C,1.2147,"[5, 6, 7]","['O', 'C', 'C']",147.97,"[6, 7, 8]","['C', 'C', 'S']",120.556,147.97,27.97,0.5559999999999974,27.97,28.525999999999996,0.049,-7.6077,-3.6957,3.9120000000000004,0.0756,-0.1217,0.1973
arene_4,O=c1cnc2sc(=O)ccc2s1,-1269.2819,aryne_4,O=c1c#cc2sc(=O)cnc2s1,-1267.9693,93.4199,6,multi,2,3,C,C,1.2272,"[1, 2, 3]","['C', 'C', 'C']",136.0394,"[2, 3, 4]","['C', 'C', 'C']",133.2305,136.0394,16.0394,13.230500000000006,16.0394,29.269900000000007,0.582,-8.2904,-2.7467,5.543699999999999,-0.0285,-0.0286,0.0571
arene_5,O=c1ccn2sccsn2[nH]1,-1228.5052,aryne_5,O=c1c#cn2sccsn2[nH]1,-1227.1702,107.4761,6,multi,2,3,C,C,1.2428,"[1, 2, 3]","['C', 'C', 'C']",115.6771,"[2, 3, 4]","['C', 'C', 'N']",131.5546,131.5546,4.322900000000004,11.554599999999994,11.554599999999994,15.877499999999998,28.895,-7.5024,-1.8204,5.6819999999999995,-0.1116,0.0126,0.1242
arene_7,O=c1ncn2cnccn2c1=O,-599.7472,aryne_8,O=c1ncn2cnc#cn2c1=O,-598.3859,123.9795,6,multi,7,8,C,C,1.2292,"[6, 7, 8]","['N', 'C', 'C']",142.9304,"[7, 8, 9]","['C', 'C', 'N']",114.5205,142.9304,22.93039999999999,5.479500000000002,22.93039999999999,28.409899999999993,0.193,-7.9336,-2.5449,5.3887,0.0734,-0.0427,0.11610000000000001
arene_8,c1csc2n[nH]ncn-2[nH]1,-826.615,aryne_9,c1[nH]n2cn[nH]nc-2sc#1,-825.2913,100.3852,6,multi,9,0,C,C,1.2389,"[8, 9, 0]","['S', 'C', 'C']",116.0855,"[1, 0, 9]","['N', 'C', 'C']",144.061,144.061,3.914500000000004,24.061000000000007,24.061000000000007,27.97550000000001,34.905,-7.2269,-1.7073,5.5196,-0.1446,0.0195,0.1641
arene_10,O=c1oc(=O)c2nccc(=O)n2s1,-1037.5574,aryne_11,O=c1oc(=O)c2nc#cc(=O)n2s1,-1036.223,107.0996,6,multi,7,8,C,C,1.2432,"[6, 7, 8]","['N', 'C', 'C']",149.8998,"[7, 8, 9]","['C', 'C', 'C']",109.4548,149.8998,29.8998,10.545199999999994,29.8998,40.44499999999999,1.127,-9.3614,-2.6089,6.7524999999999995,0.1156,-0.1253,0.2409
arene_11,O=c1ccc(=O)c2c(=O)c(=O)sc1=2,-1004.2672,aryne_12,O=c1c#cc(=O)c2c(=O)c(=O)sc1=2,-1002.949,96.9339,6,multi,2,3,C,C,1.2239,"[1, 2, 3]","['C', 'C', 'C']",128.5913,"[2, 3, 4]","['C', 'C', 'C']",130.527,130.527,8.59129999999999,10.526999999999987,10.526999999999987,19.118299999999977,0.044,-9.4047,-3.8414,5.5633,-0.044,-0.0235,0.0675
arene_12,c1csc2nscnn-2o1,-1189.201,aryne_13,c1on2ncsnc-2sc#1,-1187.8615,110.2998,6,multi,9,0,C,C,1.2569,"[8, 9, 0]","['S', 'C', 'C']",101.0417,"[1, 0, 9]","['O', 'C', 'C']",152.6891,152.6891,18.958299999999994,32.689099999999996,32.689099999999996,51.64739999999999,38.58,-7.9057,-1.9761,5.929600000000001,-0.1817,0.0986,0.2803
