arene_id,arene_smiles,arene_energy,aryne_id,aryne_smiles,aryne_energy,dehydrogenation_energy,Sz_Aryne_Ring,RingSys_Type,Aryne_Aindx_1,Aryne_Aindx_2,Aindx_1_Type,Aindx_2_Type,Aryne_Bond_Dist(A),Aidx1_BndAngl_idxs,BndAng1_Atom_Types,Aidx1_BndAngl,Aidx2_BndAngl_idxs,BndAng2_Atom_Types,Aidx2_BndAngl,Max_Aryne_BndAngl,Aidx1_BndAngl_dev,Aidx2_BndAngl_dev,Max_angle_dev,Sum_abs_dev,Aryne_DiH_Ang,eHOMO(eV),eLUMO(eV),H_L_Gap(eV),Hirsh_chgs_Aindx_1,Hirsh_chgs_Aindx_2,Sum_Abs_Hirsh_aryne
arene_1,O=c1nc2ccsc2cs1,-1156.0883,aryne_1,O=c1nc2c#csc2cs1,-1154.7269,124.0423,5,multi,4,5,C,C,1.2376,"[3, 4, 5]","['C', 'C', 'C']",125.4185,"[4, 5, 6]","['C', 'C', 'S']",111.5513,125.4185,17.418499999999995,3.5512999999999977,17.418499999999995,20.969799999999992,0.091,-8.2033,-3.1162,5.0871,0.0001,-0.0688,0.0689
arene_16,c1c[nH]nn1,-241.9423,aryne_17,c1nn[nH]c#1,-240.5255,158.8063,5,mono,4,0,C,C,1.2962,"[3, 4, 0]","['N', 'C', 'C']",89.5506,"[1, 0, 4]","['N', 'C', 'C']",129.8453,129.8453,18.449399999999997,21.84530000000001,21.84530000000001,40.294700000000006,0.046,-9.2856,-3.3609,5.9247000000000005,-0.1557,0.1634,0.3191
arene_30,O=c1ccn2c(=O)[nH]ccn12,-545.7148,aryne_33,O=c1[nH]ccn2c(=O)c#cn12,-544.3235,142.8048,5,multi,8,9,C,C,1.2411,"[6, 8, 9]","['C', 'C', 'C']",110.855,"[8, 9, 10]","['C', 'C', 'N']",114.8214,114.8214,2.855000000000004,6.821399999999997,6.821399999999997,9.676400000000001,6.498,-7.5361,-3.2572,4.2789,-0.0603,0.0185,0.0788
arene_38,O=c1cnc2nccn2o1,-506.3813,aryne_42,O=c1cnc2nc#cn2o1,-504.9847,146.1306,5,multi,6,7,C,C,1.3015,"[5, 6, 7]","['N', 'C', 'C']",132.84,"[6, 7, 8]","['C', 'C', 'N']",90.6168,132.84,24.840000000000003,17.383200000000002,24.840000000000003,42.223200000000006,0.057,-8.8042,-3.3330,5.4712,0.1627,-0.1413,0.30400000000000005
arene_42,O=c1ccc2occc2o1,-494.2334,aryne_47,O=c1ccc2oc#cc2o1,-492.8235,154.4765,5,multi,6,7,C,C,1.2437,"[5, 6, 7]","['O', 'C', 'C']",129.1984,"[6, 7, 8]","['C', 'C', 'C']",96.3721,129.1984,21.198399999999992,11.627899999999997,21.198399999999992,32.82629999999999,0.052,-8.0099,-3.5878,4.4221,0.1295,-0.1182,0.2477
arene_43,O=c1nnn2ccsn2c1=O,-920.3927,aryne_48,O=c1nnn2c#csn2c1=O,-919.0209,130.5684,5,multi,5,6,C,C,1.5137,"[4, 5, 6]","['N', 'C', 'C']",106.9554,"[5, 6, 7]","['C', 'C', 'S']",111.3967,111.3967,1.0446000000000026,3.3966999999999956,3.3966999999999956,4.441299999999998,0.762,-8.2747,-4.1018,4.172899999999999,-0.1053,-0.142,0.2473
arene_46,O=c1nc2ccon2c(=O)o1,-601.4041,aryne_52,O=c1nc2c#con2c(=O)o1,-599.9906,156.7355,5,multi,4,5,C,C,1.2335,"[3, 4, 5]","['C', 'C', 'C']",102.8636,"[4, 5, 6]","['C', 'C', 'O']",125.4538,125.4538,5.136399999999995,17.4538,17.4538,22.590199999999996,3.124,-9.8772,-4.8676,5.0096,-0.0521,0.1329,0.185
arene_48,O=c1sc2cccn2s1,-1118.0192,aryne_54,O=c1sc2cc#cn2s1,-1116.6218,146.6326,5,multi,5,6,C,C,1.2517,"[4, 5, 6]","['C', 'C', 'C']",117.0058,"[5, 6, 7]","['C', 'C', 'N']",106.3847,117.0058,9.005799999999994,1.6153000000000048,9.005799999999994,10.621099999999998,0.15,-7.8079,-3.1931,4.614800000000001,-0.0084,-0.0613,0.0697
arene_52,O=c1sc(=O)n2ccc(=O)n2s1,-1322.3751,aryne_58,O=c1sc(=O)n2c#cc(=O)n2s1,-1320.9861,141.3615,5,multi,6,7,C,C,1.2361,"[5, 6, 7]","['N', 'C', 'C']",119.7975,"[6, 7, 8]","['C', 'C', 'C']",107.2082,119.7975,11.7975,0.791799999999995,11.7975,12.589299999999994,9.527,-9.2895,-3.8029,5.4866,0.0497,-0.0688,0.1185
arene_55,O=c1ccon2c(=O)ccn12,-565.4693,aryne_62,O=c1ccon2c(=O)c#cn12,-564.0816,140.5458,5,multi,8,9,C,C,1.2388,"[6, 8, 9]","['C', 'C', 'C']",110.1848,"[8, 9, 10]","['C', 'C', 'N']",116.8915,116.8915,2.1847999999999956,8.891499999999994,8.891499999999994,11.07629999999999,0.606,-8.6497,-3.5337,5.116,-0.0592,0.042,0.10120000000000001
